dataset,base,augmentation,seed,metric,value,wall_clock_s,peak_mem_mb
yelp,lightgcn,llm_agr,2,ndcg@10,0.06348097,281.9,1906.3
yelp,lightgcn,llm_agr,2,ndcg@20,0.08024369,281.9,1906.3
yelp,lightgcn,llm_agr,3,recall@5,0.04610732,264.8,1906.8
yelp,lightgcn,llm_agr,3,recall@10,0.07959738,264.8,1906.8
yelp,lightgcn,llm_agr,3,recall@20,0.13075599,264.8,1906.8
yelp,lightgcn,llm_agr,3,ndcg@5,0.05354567,264.8,1906.8
yelp,lightgcn,llm_agr,3,ndcg@10,0.06412391,264.8,1906.8
yelp,lightgcn,llm_agr,3,ndcg@20,0.08148751,264.8,1906.8
yelp,lightgcn,llm_agr,4,recall@5,0.04573071,263.4,1905.6
yelp,lightgcn,llm_agr,4,recall@10,0.07744103,263.4,1905.6
yelp,lightgcn,llm_agr,4,recall@20,0.12715582,263.4,1905.6
yelp,lightgcn,llm_agr,4,ndcg@5,0.05328487,263.4,1905.6
yelp,lightgcn,llm_agr,4,ndcg@10,0.06329442,263.4,1905.6
yelp,lightgcn,llm_agr,4,ndcg@20,0.08009136,263.4,1905.6
yelp,lightgcn,base,0,recall@5,0.04375201,433.5,339.4
yelp,lightgcn,base,0,recall@10,0.07129558,433.5,339.4
yelp,lightgcn,base,0,recall@20,0.11576538,433.5,339.4
yelp,lightgcn,base,0,ndcg@5,0.05122402,433.5,339.4
yelp,lightgcn,base,0,ndcg@10,0.05944653,433.5,339.4
yelp,lightgcn,base,0,ndcg@20,0.07469779,433.5,339.4
yelp,lightgcn,base,1,recall@5,0.04120888,303.1,339.4
yelp,lightgcn,base,1,recall@10,0.06831149,303.1,339.4
yelp,lightgcn,base,1,recall@20,0.11377556,303.1,339.4
yelp,lightgcn,base,1,ndcg@5,0.04768362,303.1,339.4
yelp,lightgcn,base,1,ndcg@10,0.05618857,303.1,339.4
yelp,lightgcn,base,1,ndcg@20,0.07174289,303.1,339.4
yelp,lightgcn,base,2,recall@5,0.04180802,365.8,339.4
yelp,lightgcn,base,2,recall@10,0.07078428,365.8,339.4
yelp,lightgcn,base,2,recall@20,0.11686547,365.8,339.4
yelp,lightgcn,base,2,ndcg@5,0.04855403,365.8,339.4
yelp,lightgcn,base,2,ndcg@10,0.05787971,365.8,339.4
yelp,lightgcn,base,2,ndcg@20,0.07350999,365.8,339.4
yelp,lightgcn,base,3,recall@5,0.04086035,319.0,339.4
yelp,lightgcn,base,3,recall@10,0.06883331,319.0,339.4
yelp,lightgcn,base,3,recall@20,0.11395961,319.0,339.4
yelp,lightgcn,base,3,ndcg@5,0.04763794,319.0,339.4
yelp,lightgcn,base,3,ndcg@10,0.05646379,319.0,339.4
yelp,lightgcn,base,3,ndcg@20,0.07172365,319.0,339.4
yelp,lightgcn,base,4,recall@5,0.03967369,250.5,339.4
yelp,lightgcn,base,4,recall@10,0.06687434,250.5,339.4
yelp,lightgcn,base,4,recall@20,0.10895182,250.5,339.4
yelp,lightgcn,base,4,ndcg@5,0.04595555,250.5,339.4
yelp,lightgcn,base,4,ndcg@10,0.05441113,250.5,339.4
yelp,lightgcn,base,4,ndcg@20,0.06876924,250.5,339.4
yelp,sgl,llm_agr,0,recall@5,0.0476109,170.5,2429.5
yelp,sgl,llm_agr,0,recall@10,0.07800536,170.5,2429.5
yelp,sgl,llm_agr,0,recall@20,0.1270546,170.5,2429.5
yelp,sgl,llm_agr,0,ndcg@5,0.05483004,170.5,2429.5
yelp,sgl,llm_agr,0,ndcg@10,0.06414362,170.5,2429.5
yelp,sgl,llm_agr,0,ndcg@20,0.08084777,170.5,2429.5
yelp,sgl,llm_agr,1,recall@5,0.04812672,167.8,2431.4
yelp,sgl,llm_agr,1,recall@10,0.08009376,167.8,2431.4
yelp,sgl,llm_agr,1,recall@20,0.1297538,167.8,2431.4
yelp,sgl,llm_agr,1,ndcg@5,0.0550681,167.8,2431.4
yelp,sgl,llm_agr,1,ndcg@10,0.06489605,167.8,2431.4
yelp,sgl,llm_agr,1,ndcg@20,0.0819316,167.8,2431.4
yelp,sgl,llm_agr,2,recall@5,0.04641794,175.1,2429.9
yelp,sgl,llm_agr,2,recall@10,0.07814522,175.1,2429.9
yelp,sgl,llm_agr,2,recall@20,0.12736198,175.1,2429.9
yelp,sgl,llm_agr,2,ndcg@5,0.05371677,175.1,2429.9
yelp,sgl,llm_agr,2,ndcg@10,0.06358325,175.1,2429.9
yelp,sgl,llm_agr,2,ndcg@20,0.08028207,175.1,2429.9
yelp,sgl,llm_agr,3,recall@5,0.04752167,179.0,2432.0
yelp,sgl,llm_agr,3,recall@10,0.07906517,179.0,2432.0
yelp,sgl,llm_agr,3,recall@20,0.12817816,179.0,2432.0
yelp,sgl,llm_agr,3,ndcg@5,0.05457165,179.0,2432.0
yelp,sgl,llm_agr,3,ndcg@10,0.06442276,179.0,2432.0
yelp,sgl,llm_agr,3,ndcg@20,0.08106486,179.0,2432.0
yelp,sgl,llm_agr,4,recall@5,0.04631849,160.2,2430.6
yelp,sgl,llm_agr,4,recall@10,0.07837043,160.2,2430.6
yelp,sgl,llm_agr,4,recall@20,0.12570649,160.2,2430.6
yelp,sgl,llm_agr,4,ndcg@5,0.05421789,160.2,2430.6
yelp,sgl,llm_agr,4,ndcg@10,0.06396488,160.2,2430.6
yelp,sgl,llm_agr,4,ndcg@20,0.07997033,160.2,2430.6
yelp,sgl,base,0,recall@5,0.04283731,271.4,756.7
yelp,sgl,base,0,recall@10,0.07113859,271.4,756.7
yelp,sgl,base,0,recall@20,0.11831489,271.4,756.7
yelp,sgl,base,0,ndcg@5,0.05005409,271.4,756.7
yelp,sgl,base,0,ndcg@10,0.05900509,271.4,756.7
yelp,sgl,base,0,ndcg@20,0.07511236,271.4,756.7
yelp,sgl,base,1,recall@5,0.04037442,187.5,756.9
yelp,sgl,base,1,recall@10,0.06865554,187.5,756.9
yelp,sgl,base,1,recall@20,0.11546486,187.5,756.9
yelp,sgl,base,1,ndcg@5,0.04726929,187.5,756.9
yelp,sgl,base,1,ndcg@10,0.0560597,187.5,756.9
yelp,sgl,base,1,ndcg@20,0.07193509,187.5,756.9
yelp,sgl,base,2,recall@5,0.04263567,256.7,756.9
